#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#id, rootname, filter_1, filter_2, propid, aperture, exptime, target_name, mtflag, subarray, mjd, date, focus, chip, psf_x_center, psf_y_center, x_raw, y_raw, x_cal, y_cal, psf_ra, psf_dec, psf_flux, flux_crude, pixc, mag, sky, qfit, n_sat_pixels, iso_index, wfpc2_data_set_name, program_id, hla_flag, previewURI, footprint
#@int, string, string, string, int, string, float, string, int, int, float, date, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, int, int, string, string, string, string, string
id,rootname,filter_1,filter_2,propid,aperture,exptime,target_name,mtflag,subarray,mjd,date,focus,chip,psf_x_center,psf_y_center,x_raw,y_raw,x_cal,y_cal,psf_ra,psf_dec,psf_flux,flux_crude,pixc,mag,sky,qfit,n_sat_pixels,iso_index,wfpc2_data_set_name,program_id,hla_flag,previewURI,footprint
16883070,u9pl0206m,F814W,,10845,WF2,400,ANY,0,0,54224.18584,5/4/2007 4:27:37 AM,-0.436336,1,404.3618,426.9361,403.3618,425.9361,403.3618,425.9361,266.91128876,-24.86328474,53600.3,15590.95,8451.84,-11.823,31.96,0.077,0,24,U9PL0206M,9PL,Y,mast:HST/product/u9pl0206m_drw.jpg,POLYGON 266.91998744695246 -24.863199550600203 266.9118440575682 -24.869931674647216 266.9044141320318 -24.86255497125986 266.9125542116961 -24.855821493855455 266.91998744695246 -24.863199550600203
17069386,u9wj8407m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.36941,2/18/2008 8:51:57 AM,-0.608091,1,440.9359,414.0799,439.9359,413.0799,439.9359,413.0799,201.78939406,-47.49238106,42112.6,10048.53,7368.02,-11.561,18.22,0.053,0,24,U9WJ8407M,9WJ,Y,mast:HST/product/u9wj8407m_drw.jpg,POLYGON 201.79665703300546 -47.49797488682791 201.78186253480476 -47.49802090741586 201.78177350883948 -47.48802817403072 201.79656371545568 -47.48797889863512 201.79665703300546 -47.49797488682791
14903286,ua5y0205m,F675W,,11340,PC1-FIX,100,MESSIER-028,0,0,54627.49175,6/10/2008 11:48:07 AM,-1.91521,1,439.5689,411.55,438.5689,410.55,438.5689,410.55,276.13555241,-24.87111623,34589.2,12469.36,4861.37,-11.347,92.3,0.1,0,18,UA5Y0205M,A5Y,Y,mast:HST/product/ua5y0205m_drw.jpg,POLYGON 276.14241692820724 -24.87532646262015 276.1317796422249 -24.877924907127348 276.1289010174355 -24.868282325845538 276.1395351730875 -24.865681467323345 276.14241692820724 -24.87532646262015
25138993,u9wj8602m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54526.95344,3/1/2008 10:52:57 PM,-1.06369,1,406.5052,428.9228,405.5052,427.9228,405.5052,427.9228,201.788129,-47.49277168,36483.9,10843.3,5347.94,-11.405,31.16,0.098,0,11,U9WJ8602M,9WJ,Y,mast:HST/product/u9wj8602m_drw.jpg,POLYGON 201.7967955562161 -47.49794264253158 201.78200106723855 -47.49798868181926 201.78191201373104 -47.48799594855165 201.79670221112102 -47.487946654461695 201.7967955562161 -47.49794264253158
15329736,ua2l050bm,F814W,,11233,WFALL-FIX,200,M80-WFPC2,0,0,54547.80414,3/22/2008 7:17:57 PM,-1.13721,1,448.3393,447.7928,447.3393,446.7928,447.3393,446.7928,244.27790407,-22.98016159,33332,10592.75,4979.75,-11.307,27.18,0.073,0,22,UA2L050BM,A2L,Y,mast:HST/product/ua2l050bm_drw.jpg,POLYGON 244.2849619663374 -22.981395474571684 244.27599725870093 -22.987034424978756 244.26986061404875 -22.97879178024674 244.27882214542677 -22.97315102838276 244.2849619663374 -22.981395474571684
24459541,u9711201m,F814W,,10424,WFALL,600,ANY,0,0,53442.42449,3/13/2005 10:11:16 AM,-0.817681,1,427.6898,400.7046,426.6898,399.7046,426.6898,399.7046,265.13534462,-53.66653584,34475.5,11595.82,5624.83,-11.344,23.22,0.079,0,23,U9711201M,971,Y,mast:HST/product/u9711201m_drw.jpg,POLYGON 265.14874732687775 -53.66710648201276 265.13673892584774 -53.674127863915544 265.1248739892094 -53.6670250502218 265.13687728559825 -53.660003217042004 265.14874732687775 -53.66710648201276
24500091,u9wj8501m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.63538,2/18/2008 3:14:57 PM,0.425496,1,440.1905,404.0997,439.1905,403.0997,439.1905,403.0997,201.78933629,-47.49198007,41796.7,12116.71,7180.61,-11.553,27.76,0.064,0,24,U9WJ8501M,9WJ,Y,mast:HST/product/u9wj8501m_drw.jpg,POLYGON 201.79663485614114 -47.49785001383125 201.78184039311233 -47.497896034424514 201.78175136738753 -47.48790330104504 201.7965415388544 -47.487854025644054 201.79663485614114 -47.49785001383125
23128942,ua2l0808m,F814W,,11233,WFALL-FIX,100,M22-WFPC2,0,0,54585.50911,4/29/2008 12:13:07 PM,1.4892,1,425.799,412.2213,424.799,411.2213,424.799,411.2213,279.1287573,-23.90233799,50152.1,15434.87,8555.71,-11.751,38.08,0.1,0,24,UA2L0808M,A2L,Y,mast:HST/product/ua2l0808m_drw.jpg,POLYGON 279.1372407805875 -23.90215511240893 279.1299607475927 -23.909612625333097 279.1217949353184 -23.90296972043096 279.129071680436 -23.895511146777867 279.1372407805875 -23.90215511240893
850492,ubab5008m,F450W,,11988,PC1-FIX,260,NGC7078-WFPC2-POS1,0,0,54953.6704,5/2/2009 4:05:23 PM,1.31766,1,419,411,418,410,418,410,322.49128236,12.16668829,86935.8,106751.9,86935.76,-12.348,538.9,0,1,22,UBAB5008M,BAB,Y,mast:HST/product/ubab5008m_drw.jpg,POLYGON 322.4991951477522 12.168323165157366 322.49378014717723 12.159851645541753 322.4851091785474 12.165131224847704 322.4905216724437 12.173603004046551 322.4991951477522 12.168323165157366
15758001,u9wj8406m,F814W,,11030,WFALL-FIX,80,WCENICF,0,0,54514.36524,2/18/2008 8:45:57 AM,0.800126,1,431.5675,404.7041,430.5675,403.7041,430.5675,403.7041,201.78882912,-47.49200761,41924.5,14468.41,6103.95,-11.556,24.62,0.067,0,24,U9WJ8406M,9WJ,Y,mast:HST/product/u9wj8406m_drw.jpg,POLYGON 201.79648077094217 -47.497857870538056 201.78168630560668 -47.49790387508126 201.78159730358468 -47.487911141601046 201.79638747736448 -47.48786188224547 201.79648077094217 -47.497857870538056
